Home Team,Away Team,Home Score,Away Score
West Ham United,Wolverhampton Wanderers,4,0
Fulham,Aston Villa,0,3
Liverpool,Arsenal,3,1
Chelsea,Crystal Palace,4,0
Everton,Brighton & Hove Albion,4,2
Leeds United,Manchester City,1,1
Newcastle United,Burnley,3,1
Leicester City,West Ham United,0,3
Southampton,West Brom,2,0
Arsenal,Sheffield Utd,2,1
Wolverhampton Wanderers,Fulham,1,0
Manchester United,Tottenham Hotspur,1,6
Aston Villa,Liverpool,7,2
Everton,Liverpool,2,2
Chelsea,Southampton,3,3
Manchester City,Arsenal,1,0
Newcastle United,Manchester United,1,4
Sheffield Utd,Fulham,1,1
Crystal Palace,Brighton & Hove Albion,1,1
Tottenham Hotspur,West Ham United,3,3
Leicester City,Aston Villa,0,1
West Brom,Burnley,0,0
Leeds United,Wolverhampton Wanderers,0,1
Aston Villa,Leeds United,0,3
West Ham United,Manchester City,1,1
Fulham,Crystal Palace,1,2
Manchester United,Chelsea,0,0
Liverpool,Sheffield Utd,2,1
Southampton,Everton,2,0
Wolverhampton Wanderers,Newcastle United,1,1
Arsenal,Leicester City,0,1
Brighton & Hove Albion,West Brom,1,1
Burnley,Tottenham Hotspur,0,1
Wolverhampton Wanderers,Crystal Palace,2,0
Sheffield Utd,Manchester City,0,1
Burnley,Chelsea,0,3
Liverpool,West Ham United,2,1
Aston Villa,Southampton,3,4
Newcastle United,Everton,2,1
Manchester United,Arsenal,0,1
Tottenham Hotspur,Brighton & Hove Albion,2,1
Fulham,West Brom,2,0
Leeds United,Leicester City,1,4
Brighton & Hove Albion,Burnley,0,0
Southampton,Newcastle United,2,0
Everton,Manchester United,1,3
Crystal Palace,Leeds United,4,1
Chelsea,Sheffield Utd,4,1
West Ham United,Fulham,1,0
West Brom,Tottenham Hotspur,0,1
Leicester City,Wolverhampton Wanderers,1,0
Manchester City,Liverpool,1,1
Arsenal,Aston Villa,0,3
Newcastle United,Chelsea,0,2
Aston Villa,Brighton & Hove Albion,1,2
Tottenham Hotspur,Manchester City,2,0
Manchester United,West Brom,1,0
Fulham,Everton,2,3
Sheffield Utd,West Ham United,0,1
Leeds United,Arsenal,0,0
Liverpool,Leicester City,3,0
Burnley,Crystal Palace,1,0
Wolverhampton Wanderers,Southampton,1,1
Crystal Palace,Newcastle United,0,2
Brighton & Hove Albion,Liverpool,1,1
Manchester City,Burnley,5,0
Everton,Leeds United,0,1
West Brom,Sheffield Utd,1,0
Southampton,Manchester United,2,3
Chelsea,Tottenham Hotspur,0,0
Arsenal,Wolverhampton Wanderers,1,2
Leicester City,Fulham,1,2
West Ham United,Aston Villa,2,1
Burnley,Everton,1,1
Manchester City,Fulham,2,0
West Ham United,Manchester United,1,3
Chelsea,Leeds United,3,1
West Brom,Crystal Palace,1,5
Sheffield Utd,Leicester City,1,2
Tottenham Hotspur,Arsenal,2,0
Liverpool,Wolverhampton Wanderers,4,0
Brighton & Hove Albion,Southampton,1,2
Leeds United,West Ham United,1,2
Wolverhampton Wanderers,Aston Villa,0,1
Newcastle United,West Brom,2,1
Manchester United,Manchester City,0,0
Everton,Chelsea,1,0
Southampton,Sheffield Utd,3,0
Crystal Palace,Tottenham Hotspur,1,1
Fulham,Liverpool,1,1
Arsenal,Burnley,0,1
Leicester City,Brighton & Hove Albion,3,0
Wolverhampton Wanderers,Chelsea,2,1
Manchester City,West Brom,1,1
Arsenal,Southampton,1,1
Leeds United,Newcastle United,5,2
Leicester City,Everton,0,2
Fulham,Brighton & Hove Albion,0,0
West Ham United,Crystal Palace,1,1
Liverpool,Tottenham Hotspur,2,1
Aston Villa,Burnley,0,0
Sheffield Utd,Manchester United,2,3
Crystal Palace,Liverpool,0,7
Southampton,Manchester City,0,1
Everton,Arsenal,2,1
Newcastle United,Fulham,1,1
Brighton & Hove Albion,Sheffield Utd,1,1
Tottenham Hotspur,Leicester City,0,2
Manchester United,Leeds United,6,2
West Brom,Aston Villa,0,3
Burnley,Wolverhampton Wanderers,2,1
Chelsea,West Ham United,3,0
Leicester City,Manchester United,2,2
Aston Villa,Crystal Palace,3,0
Fulham,Southampton,0,0
Arsenal,Chelsea,3,1
Manchester City,Newcastle United,2,0
Sheffield Utd,Everton,0,1
Leeds United,Burnley,1,0
West Ham United,Brighton & Hove Albion,2,2
Liverpool,West Brom,1,1
Wolverhampton Wanderers,Tottenham Hotspur,1,1
Crystal Palace,Leicester City,1,1
Chelsea,Aston Villa,1,1
Brighton & Hove Albion,Arsenal,0,1
Burnley,Sheffield Utd,1,0
Southampton,West Ham United,0,0
West Brom,Leeds United,0,5
Manchester United,Wolverhampton Wanderers,1,0
Newcastle United,Liverpool,0,0
Everton,West Ham United,0,1
Manchester United,Aston Villa,2,1
Tottenham Hotspur,Leeds United,3,0
Crystal Palace,Sheffield Utd,2,0
Brighton & Hove Albion,Wolverhampton Wanderers,3,3
West Brom,Arsenal,0,4
Newcastle United,Leicester City,1,2
Chelsea,Manchester City,1,3
Southampton,Liverpool,1,0
Sheffield Utd,Newcastle United,1,0
Burnley,Manchester United,0,1
Wolverhampton Wanderers,Everton,1,2
Manchester City,Brighton & Hove Albion,1,0
Tottenham Hotspur,Fulham,1,1
Arsenal,Crystal Palace,0,0
Wolverhampton Wanderers,West Brom,2,3
Leeds United,Brighton & Hove Albion,0,1
West Ham United,Burnley,1,0
Fulham,Chelsea,0,1
Leicester City,Southampton,2,0
Sheffield Utd,Tottenham Hotspur,1,3
Liverpool,Manchester United,0,0
Manchester City,Crystal Palace,4,0
Arsenal,Newcastle United,3,0
West Ham United,West Brom,2,1
Leicester City,Chelsea,2,0
Manchester City,Aston Villa,2,0
Fulham,Manchester United,1,2
Liverpool,Burnley,0,1
Aston Villa,Newcastle United,2,0
Newcastle United,Leeds United,1,2
Crystal Palace,West Ham United,2,3
West Brom,Manchester City,0,5
Southampton,Arsenal,1,3
Burnley,Aston Villa,3,2
Chelsea,Wolverhampton Wanderers,0,0
Brighton & Hove Albion,Fulham,0,0
Everton,Leicester City,1,1
Manchester United,Sheffield Utd,1,2
Tottenham Hotspur,Liverpool,1,3
Everton,Newcastle United,0,2
Crystal Palace,Wolverhampton Wanderers,1,0
Manchester City,Sheffield Utd,1,0
West Brom,Fulham,2,2
Arsenal,Manchester United,0,0
Southampton,Aston Villa,0,1
Chelsea,Burnley,2,0
Leicester City,Leeds United,1,3
West Ham United,Liverpool,1,3
Brighton & Hove Albion,Tottenham Hotspur,1,0
Sheffield Utd,West Brom,2,1
Wolverhampton Wanderers,Arsenal,2,1
Manchester United,Southampton,9,0
Newcastle United,Crystal Palace,1,2
Burnley,Manchester City,0,2
Fulham,Leicester City,0,2
Leeds United,Everton,1,2
Aston Villa,West Ham United,1,3
Liverpool,Brighton & Hove Albion,0,1
Tottenham Hotspur,Chelsea,0,1
Aston Villa,Arsenal,1,0
Burnley,Brighton & Hove Albion,1,1
Newcastle United,Southampton,3,2
Fulham,West Ham United,0,0
Manchester United,Everton,3,3
Tottenham Hotspur,West Brom,2,0
Wolverhampton Wanderers,Leicester City,0,0
Liverpool,Manchester City,1,4
Sheffield Utd,Chelsea,1,2
Leeds United,Crystal Palace,2,0
Leicester City,Liverpool,3,1
Crystal Palace,Burnley,0,3
Manchester City,Tottenham Hotspur,3,0
Brighton & Hove Albion,Aston Villa,0,0
Southampton,Wolverhampton Wanderers,1,2
West Brom,Manchester United,1,1
Arsenal,Leeds United,4,2
Everton,Fulham,0,2
West Ham United,Sheffield Utd,3,0
Chelsea,Newcastle United,2,0
Burnley,Fulham,1,1
Everton,Manchester City,1,3
Wolverhampton Wanderers,Leeds United,1,0
Southampton,Chelsea,1,1
Burnley,West Brom,0,0
Liverpool,Everton,0,2
Fulham,Sheffield Utd,1,0
West Ham United,Tottenham Hotspur,2,1
Aston Villa,Leicester City,1,2
Arsenal,Manchester City,0,1
Manchester United,Newcastle United,3,1
Brighton & Hove Albion,Crystal Palace,1,2
Leeds United,Southampton,3,0
Manchester City,West Ham United,2,1
West Brom,Brighton & Hove Albion,1,0
Leeds United,Aston Villa,0,1
Newcastle United,Wolverhampton Wanderers,1,1
Crystal Palace,Fulham,0,0
Leicester City,Arsenal,1,3
Tottenham Hotspur,Burnley,4,0
Chelsea,Manchester United,0,0
Sheffield Utd,Liverpool,0,2
Everton,Southampton,1,0
Manchester City,Wolverhampton Wanderers,4,1
Burnley,Leicester City,1,1
Sheffield Utd,Aston Villa,1,0
Crystal Palace,Manchester United,0,0
West Brom,Everton,0,1
Fulham,Tottenham Hotspur,0,1
Liverpool,Chelsea,0,1
Burnley,Arsenal,1,1
Sheffield Utd,Southampton,0,2
Aston Villa,Wolverhampton Wanderers,0,0
Brighton & Hove Albion,Leicester City,1,2
West Brom,Newcastle United,0,0
Liverpool,Fulham,0,1
Manchester City,Manchester United,0,2
Tottenham Hotspur,Crystal Palace,4,1
Chelsea,Everton,2,0
West Ham United,Leeds United,2,0
Manchester City,Southampton,5,2
Newcastle United,Aston Villa,1,1
Leeds United,Chelsea,0,0
Crystal Palace,West Brom,1,0
Everton,Burnley,1,2
Fulham,Manchester City,0,3
Southampton,Brighton & Hove Albion,1,2
Leicester City,Sheffield Utd,5,0
Arsenal,Tottenham Hotspur,2,1
Manchester United,West Ham United,1,0
Wolverhampton Wanderers,Liverpool,0,1
Fulham,Leeds United,1,2
Brighton & Hove Albion,Newcastle United,3,0
West Ham United,Arsenal,3,3
Aston Villa,Tottenham Hotspur,0,2
Chelsea,West Brom,2,5
Leeds United,Sheffield Utd,2,1
Leicester City,Manchester City,0,2
Arsenal,Liverpool,0,3
Southampton,Burnley,3,2
Newcastle United,Tottenham Hotspur,2,2
Aston Villa,Fulham,3,1
Manchester United,Brighton & Hove Albion,2,1
Everton,Crystal Palace,1,1
Wolverhampton Wanderers,West Ham United,2,3
Fulham,Wolverhampton Wanderers,0,1
Manchester City,Leeds United,1,2
Liverpool,Aston Villa,2,1
Crystal Palace,Chelsea,1,4
Burnley,Newcastle United,1,2
West Ham United,Leicester City,3,2
Tottenham Hotspur,Manchester United,1,3
Sheffield Utd,Arsenal,0,3
West Brom,Southampton,3,0
Brighton & Hove Albion,Everton,0,0
Everton,Tottenham Hotspur,2,2
Newcastle United,West Ham United,3,2
Wolverhampton Wanderers,Sheffield Utd,1,0
Arsenal,Fulham,1,1
Manchester United,Burnley,3,1
Leeds United,Liverpool,1,1
Chelsea,Brighton & Hove Albion,0,0
Tottenham Hotspur,Southampton,2,1
Aston Villa,Manchester City,1,2
Leicester City,West Brom,3,0
Arsenal,Everton,0,1
Liverpool,Newcastle United,1,1
West Ham United,Chelsea,0,1
Sheffield Utd,Brighton & Hove Albion,1,0
Wolverhampton Wanderers,Burnley,0,4
Leeds United,Manchester United,0,0
Aston Villa,West Brom,2,2
Leicester City,Crystal Palace,2,1
Southampton,Leicester City,1,1
Crystal Palace,Manchester City,0,2
Brighton & Hove Albion,Leeds United,2,0
Chelsea,Fulham,2,0
Everton,Aston Villa,1,2
Newcastle United,Arsenal,0,2
Tottenham Hotspur,Sheffield Utd,4,0
West Brom,Wolverhampton Wanderers,1,1
Burnley,West Ham United,1,2
Leicester City,Newcastle United,2,4
Leeds United,Tottenham Hotspur,3,1
Sheffield Utd,Crystal Palace,0,2
Manchester City,Chelsea,1,2
Liverpool,Southampton,2,0
Wolverhampton Wanderers,Brighton & Hove Albion,2,1
Aston Villa,Manchester United,1,3
West Ham United,Everton,0,1
Arsenal,West Brom,3,1
Fulham,Burnley,0,2
Manchester United,Leicester City,1,2
Southampton,Crystal Palace,3,1
Chelsea,Arsenal,0,1
Aston Villa,Everton,0,0
Manchester United,Liverpool,2,4
Newcastle United,Manchester City,3,4
Burnley,Leeds United,0,4
Southampton,Fulham,3,1
Brighton & Hove Albion,West Ham United,1,1
Crystal Palace,Aston Villa,3,2
Tottenham Hotspur,Wolverhampton Wanderers,2,0
West Brom,Liverpool,1,2
Everton,Sheffield Utd,0,1
Manchester United,Fulham,1,1
Southampton,Leeds United,0,2
Brighton & Hove Albion,Manchester City,3,2
Chelsea,Leicester City,2,1
Everton,Wolverhampton Wanderers,1,0
Newcastle United,Sheffield Utd,1,0
Tottenham Hotspur,Aston Villa,1,2
Crystal Palace,Arsenal,1,3
Burnley,Liverpool,0,3
West Brom,West Ham United,1,3
Arsenal,Brighton & Hove Albion,2,0
Aston Villa,Chelsea,2,1
Fulham,Newcastle United,0,2
Leeds United,West Brom,3,1
Leicester City,Tottenham Hotspur,2,4
Liverpool,Crystal Palace,2,0
Manchester City,Everton,5,0
Sheffield Utd,Burnley,1,0
West Ham United,Southampton,3,0
Wolverhampton Wanderers,Manchester United,1,2
Brentford,Arsenal,2,0
Manchester United,Leeds United,5,1
Burnley,Brighton & Hove Albion,1,2
Chelsea,Crystal Palace,3,0
Everton,Southampton,3,1
Leicester City,Wolverhampton Wanderers,1,0
Watford,Aston Villa,3,2
Norwich,Liverpool,0,3
Newcastle United,West Ham United,2,4
Tottenham Hotspur,Manchester City,1,0
Liverpool,Burnley,2,0
Aston Villa,Newcastle United,2,0
Crystal Palace,Brentford,0,0
Leeds United,Everton,2,2
Manchester City,Norwich,5,0
Brighton & Hove Albion,Watford,2,0
Southampton,Manchester United,1,1
Wolverhampton Wanderers,Tottenham Hotspur,0,1
Arsenal,Chelsea,0,2
West Ham United,Leicester City,4,1
Manchester City,Arsenal,5,0
Aston Villa,Brentford,1,1
Brighton & Hove Albion,Everton,0,2
Newcastle United,Southampton,2,2
Norwich,Leicester City,1,2
West Ham United,Crystal Palace,2,2
Liverpool,Chelsea,1,1
Burnley,Leeds United,1,1
Tottenham Hotspur,Watford,1,0
Wolverhampton Wanderers,Manchester United,0,1
Crystal Palace,Tottenham Hotspur,3,0
Arsenal,Norwich,1,0
Brentford,Brighton & Hove Albion,0,1
Leicester City,Manchester City,0,1
Manchester United,Newcastle United,4,1
Southampton,West Ham United,0,0
Watford,Wolverhampton Wanderers,0,2
Chelsea,Aston Villa,3,0
Leeds United,Liverpool,0,3
Everton,Burnley,3,1
Newcastle United,Leeds United,1,1
Wolverhampton Wanderers,Brentford,0,2
Burnley,Arsenal,0,1
Liverpool,Crystal Palace,3,0
Manchester City,Southampton,0,0
Norwich,Watford,1,3
Aston Villa,Everton,3,0
Brighton & Hove Albion,Leicester City,2,1
West Ham United,Manchester United,1,2
Tottenham Hotspur,Chelsea,0,3
Chelsea,Manchester City,0,1
Manchester United,Aston Villa,0,1
Everton,Norwich,2,0
Leeds United,West Ham United,1,2
Leicester City,Burnley,2,2
Watford,Newcastle United,1,1
Brentford,Liverpool,3,3
Southampton,Wolverhampton Wanderers,0,1
Arsenal,Tottenham Hotspur,3,1
Crystal Palace,Brighton & Hove Albion,1,1
Manchester United,Everton,1,1
Burnley,Norwich,0,0
Chelsea,Southampton,3,1
Leeds United,Watford,1,0
Wolverhampton Wanderers,Newcastle United,2,1
Brighton & Hove Albion,Arsenal,0,0
Crystal Palace,Leicester City,2,2
Tottenham Hotspur,Aston Villa,2,1
West Ham United,Brentford,1,2
Liverpool,Manchester City,2,2
Watford,Liverpool,0,5
Aston Villa,Wolverhampton Wanderers,2,3
Leicester City,Manchester United,4,2
Manchester City,Burnley,2,0
Norwich,Brighton & Hove Albion,0,0
Southampton,Leeds United,1,0
Brentford,Chelsea,0,1
Everton,West Ham United,0,1
Newcastle United,Tottenham Hotspur,2,3
Arsenal,Crystal Palace,2,2
Arsenal,Aston Villa,3,1
Chelsea,Norwich,7,0
Crystal Palace,Newcastle United,1,1
Everton,Watford,2,5
Leeds United,Wolverhampton Wanderers,1,1
Southampton,Burnley,2,2
Brighton & Hove Albion,Manchester City,1,4
Brentford,Leicester City,1,2
West Ham United,Tottenham Hotspur,1,0
Manchester United,Liverpool,0,5
Leicester City,Arsenal,0,2
Burnley,Brentford,3,1
Liverpool,Brighton & Hove Albion,2,2
Manchester City,Crystal Palace,0,2
Newcastle United,Chelsea,0,3
Watford,Southampton,0,1
Tottenham Hotspur,Manchester United,0,3
Norwich,Leeds United,1,2
Aston Villa,West Ham United,1,4
Wolverhampton Wanderers,Everton,2,1
Southampton,Aston Villa,1,0
Manchester United,Manchester City,0,2
Brentford,Norwich,1,2
Chelsea,Burnley,1,1
Crystal Palace,Wolverhampton Wanderers,2,0
Brighton & Hove Albion,Newcastle United,1,1
Arsenal,Watford,1,0
Everton,Tottenham Hotspur,0,0
Leeds United,Leicester City,1,1
West Ham United,Liverpool,3,2
Leicester City,Chelsea,0,3
Aston Villa,Brighton & Hove Albion,2,0
Burnley,Crystal Palace,3,3
Newcastle United,Brentford,3,3
Norwich,Southampton,2,1
Watford,Manchester United,4,1
Wolverhampton Wanderers,West Ham United,1,0
Liverpool,Arsenal,4,0
Manchester City,Everton,3,0
Tottenham Hotspur,Leeds United,2,1
Arsenal,Newcastle United,2,0
Crystal Palace,Aston Villa,1,2
Liverpool,Southampton,4,0
Norwich,Wolverhampton Wanderers,0,0
Brighton & Hove Albion,Leeds United,0,0
Brentford,Everton,1,0
Leicester City,Watford,4,2
Manchester City,West Ham United,2,1
Chelsea,Manchester United,1,1
Burnley,Tottenham Hotspur,1,0
Newcastle United,Norwich,1,1
Leeds United,Crystal Palace,1,0
Watford,Chelsea,1,2
West Ham United,Brighton & Hove Albion,1,1
Wolverhampton Wanderers,Burnley,0,0
Southampton,Leicester City,2,2
Aston Villa,Manchester City,1,2
Everton,Liverpool,1,4
Tottenham Hotspur,Brentford,2,0
Manchester United,Arsenal,3,2
West Ham United,Chelsea,3,2
Newcastle United,Burnley,1,0
Southampton,Brighton & Hove Albion,1,1
Wolverhampton Wanderers,Liverpool,0,1
Watford,Manchester City,1,3
Leeds United,Brentford,2,2
Manchester United,Crystal Palace,1,0
Tottenham Hotspur,Norwich,3,0
Aston Villa,Leicester City,2,1
Everton,Arsenal,2,1
Brentford,Watford,2,1
Manchester City,Wolverhampton Wanderers,1,0
Arsenal,Southampton,3,0
Chelsea,Leeds United,3,2
Liverpool,Aston Villa,1,0
Norwich,Manchester United,0,1
Burnley,West Ham United,0,0
Leicester City,Newcastle United,4,0
Crystal Palace,Everton,3,1
Brighton & Hove Albion,Tottenham Hotspur,0,2
Norwich,Aston Villa,0,2
Manchester City,Leeds United,7,0
Brighton & Hove Albion,Wolverhampton Wanderers,0,1
Crystal Palace,Southampton,2,2
Arsenal,West Ham United,2,0
Chelsea,Everton,1,1
Liverpool,Newcastle United,3,1
Leicester City,Tottenham Hotspur,2,3
Brentford,Manchester United,1,3
Burnley,Watford,0,0
Leeds United,Arsenal,1,4
Newcastle United,Manchester City,0,4
Wolverhampton Wanderers,Chelsea,0,0
Tottenham Hotspur,Liverpool,2,2
Southampton,Brentford,4,1
West Ham United,Norwich,2,0
Manchester United,Brighton & Hove Albion,2,0
Watford,Crystal Palace,1,4
Everton,Leicester City,1,1
Manchester City,Leicester City,6,3
Norwich,Arsenal,0,5
Tottenham Hotspur,Crystal Palace,3,0
West Ham United,Southampton,2,3
Aston Villa,Chelsea,1,3
Brighton & Hove Albion,Brentford,2,0
Newcastle United,Manchester United,1,1
Liverpool,Leeds United,6,0
Wolverhampton Wanderers,Watford,4,0
Burnley,Everton,3,2
Crystal Palace,Norwich,3,0
Southampton,Tottenham Hotspur,1,1
Watford,West Ham United,1,4
Leicester City,Liverpool,1,0
Chelsea,Brighton & Hove Albion,1,1
Brentford,Manchester City,0,1
Manchester United,Burnley,3,1
Arsenal,Wolverhampton Wanderers,2,1
Leeds United,Aston Villa,0,3
Everton,Newcastle United,1,0
Arsenal,Manchester City,1,2
Watford,Tottenham Hotspur,0,1
Crystal Palace,West Ham United,2,3
Brentford,Aston Villa,2,1
Everton,Brighton & Hove Albion,2,3
Leeds United,Burnley,3,1
Chelsea,Liverpool,2,2
Manchester United,Wolverhampton Wanderers,0,1
Southampton,Newcastle United,1,2
Leicester City,Norwich,3,0
Brighton & Hove Albion,Crystal Palace,1,1
Manchester City,Chelsea,1,0
Newcastle United,Watford,1,1
Norwich,Everton,2,1
Wolverhampton Wanderers,Southampton,3,1
Aston Villa,Manchester United,2,2
Liverpool,Brentford,3,0
West Ham United,Leeds United,2,3
Burnley,Leicester City,0,2
Tottenham Hotspur,Arsenal,3,0
Watford,Norwich,0,3
Everton,Aston Villa,0,1
Brentford,Wolverhampton Wanderers,1,2
Leeds United,Newcastle United,0,1
Manchester United,West Ham United,1,0
Southampton,Manchester City,1,1
Arsenal,Burnley,0,0
Crystal Palace,Liverpool,1,3
Leicester City,Brighton & Hove Albion,1,1
Chelsea,Tottenham Hotspur,2,0
Brighton & Hove Albion,Chelsea,1,1
West Ham United,Watford,1,0
Newcastle United,Everton,3,1
Burnley,Manchester United,1,1
Norwich,Crystal Palace,1,1
Tottenham Hotspur,Southampton,2,3
Manchester City,Brentford,2,0
Aston Villa,Leeds United,3,3
Wolverhampton Wanderers,Arsenal,0,1
Liverpool,Leicester City,2,0
Manchester United,Southampton,1,1
Brentford,Crystal Palace,0,0
Everton,Leeds United,3,0
Watford,Brighton & Hove Albion,0,2
Norwich,Manchester City,0,4
Burnley,Liverpool,0,1
Newcastle United,Aston Villa,1,0
Tottenham Hotspur,Wolverhampton Wanderers,0,2
Leicester City,West Ham United,2,2
Chelsea,Arsenal,2,4
West Ham United,Newcastle United,1,1
Arsenal,Brentford,2,1
Aston Villa,Watford,0,1
Brighton & Hove Albion,Burnley,0,3
Crystal Palace,Chelsea,0,1
Liverpool,Norwich,3,1
Southampton,Everton,2,0
Manchester City,Tottenham Hotspur,2,3
Leeds United,Manchester United,2,4
Wolverhampton Wanderers,Leicester City,2,1
Southampton,Norwich,2,0
Leeds United,Tottenham Hotspur,0,4
Brentford,Newcastle United,0,2
Crystal Palace,Burnley,1,1
Manchester United,Watford,0,0
Brighton & Hove Albion,Aston Villa,0,2
Everton,Manchester City,0,1
West Ham United,Wolverhampton Wanderers,1,0
Arsenal,Liverpool,0,2
Leicester City,Leeds United,1,0
Aston Villa,Southampton,4,0
Burnley,Chelsea,0,4
Newcastle United,Brighton & Hove Albion,2,1
Norwich,Brentford,1,3
Wolverhampton Wanderers,Crystal Palace,0,2
Liverpool,West Ham United,1,0
Watford,Arsenal,2,3
Manchester City,Manchester United,4,1
Tottenham Hotspur,Everton,5,0
Brighton & Hove Albion,Liverpool,0,2
Brentford,Burnley,2,0
Manchester United,Tottenham Hotspur,3,2
Chelsea,Newcastle United,1,0
Everton,Wolverhampton Wanderers,0,1
Leeds United,Norwich,2,1
Southampton,Watford,1,2
West Ham United,Aston Villa,2,1
Arsenal,Leicester City,2,0
Crystal Palace,Manchester City,0,0
Norwich,Chelsea,1,3
Wolverhampton Wanderers,Leeds United,2,3
Aston Villa,Arsenal,0,1
Leicester City,Brentford,2,1
Tottenham Hotspur,West Ham United,3,1
Liverpool,Manchester United,4,0
Newcastle United,Crystal Palace,1,0
Manchester City,Brighton & Hove Albion,3,0
Burnley,Southampton,2,0
Watford,Everton,0,0
Liverpool,Watford,2,0
Brighton & Hove Albion,Norwich,0,0
Burnley,Manchester City,0,2
Chelsea,Brentford,1,4
Leeds United,Southampton,1,1
Wolverhampton Wanderers,Aston Villa,2,1
Manchester United,Leicester City,1,1
West Ham United,Everton,2,1
Tottenham Hotspur,Newcastle United,5,1
Crystal Palace,Arsenal,3,0
Newcastle United,Wolverhampton Wanderers,1,0
Everton,Manchester United,1,0
Arsenal,Brighton & Hove Albion,1,2
Southampton,Chelsea,0,6
Watford,Leeds United,0,3
Aston Villa,Tottenham Hotspur,0,4
Brentford,West Ham United,2,0
Leicester City,Crystal Palace,2,1
Norwich,Burnley,2,0
Manchester City,Liverpool,2,2
Tottenham Hotspur,Brighton & Hove Albion,0,1
Manchester United,Norwich,3,2
Southampton,Arsenal,1,0
Watford,Brentford,1,2
Newcastle United,Leicester City,2,1
West Ham United,Burnley,1,1
Aston Villa,Liverpool,1,2
Leeds United,Chelsea,0,3
Wolverhampton Wanderers,Manchester City,1,5
Arsenal,Manchester United,3,1
Leicester City,Aston Villa,0,0
Manchester City,Watford,5,1
Norwich,Newcastle United,0,3
Brentford,Tottenham Hotspur,0,0
Brighton & Hove Albion,Southampton,2,2
Burnley,Wolverhampton Wanderers,1,0
Chelsea,West Ham United,1,0
Liverpool,Everton,2,0
Crystal Palace,Leeds United,0,0
Manchester United,Chelsea,1,1
Newcastle United,Liverpool,0,1
Aston Villa,Norwich,2,0
Southampton,Crystal Palace,1,2
Watford,Burnley,1,2
Wolverhampton Wanderers,Brighton & Hove Albion,0,3
Leeds United,Manchester City,0,4
Everton,Chelsea,1,0
Tottenham Hotspur,Leicester City,3,1
West Ham United,Arsenal,1,2
Manchester United,Brentford,3,0
Brentford,Southampton,3,0
Burnley,Aston Villa,1,3
Chelsea,Wolverhampton Wanderers,2,2
Crystal Palace,Watford,1,0
Brighton & Hove Albion,Manchester United,4,0
Liverpool,Tottenham Hotspur,1,1
Arsenal,Leeds United,2,1
Leicester City,Everton,1,2
Norwich,West Ham United,0,4
Manchester City,Newcastle United,5,0
Tottenham Hotspur,Burnley,1,0
Aston Villa,Crystal Palace,1,1
Leeds United,Brighton & Hove Albion,1,1
Watford,Leicester City,1,5
West Ham United,Manchester City,2,2
Wolverhampton Wanderers,Norwich,1,1
Everton,Brentford,2,3
Newcastle United,Arsenal,2,0
Southampton,Liverpool,1,2
Everton,Crystal Palace,3,2
Aston Villa,Burnley,1,1
Chelsea,Leicester City,1,1
Arsenal,Everton,5,1
Brentford,Leeds United,1,2
Brighton & Hove Albion,West Ham United,3,1
Burnley,Newcastle United,1,2
Chelsea,Watford,2,1
Crystal Palace,Manchester United,1,0
Leicester City,Southampton,4,1
Liverpool,Wolverhampton Wanderers,3,1
Manchester City,Aston Villa,3,2
Norwich,Tottenham Hotspur,0,5
Crystal Palace,Arsenal,0,2
Fulham,Liverpool,2,2
Bournemouth,Aston Villa,2,0
Leeds United,Wolverhampton Wanderers,2,1
Newcastle United,Nottingham Forest,2,0
Tottenham Hotspur,Southampton,4,1
Everton,Chelsea,0,1
Leicester City,Brentford,2,2
Manchester United,Brighton & Hove Albion,1,2
West Ham United,Manchester City,0,2
Aston Villa,Everton,2,1
Arsenal,Leicester City,4,2
Brighton & Hove Albion,Newcastle United,0,0
Manchester City,Bournemouth,4,0
Southampton,Leeds United,2,2
Wolverhampton Wanderers,Fulham,0,0
Brentford,Manchester United,4,0
Nottingham Forest,West Ham United,1,0
Chelsea,Tottenham Hotspur,2,2
Liverpool,Crystal Palace,1,1
Tottenham Hotspur,Wolverhampton Wanderers,1,0
Crystal Palace,Aston Villa,3,1
Everton,Nottingham Forest,1,1
Fulham,Brentford,3,2
Leicester City,Southampton,1,2
Bournemouth,Arsenal,0,3
Leeds United,Chelsea,3,0
West Ham United,Brighton & Hove Albion,0,2
Newcastle United,Manchester City,3,3
Manchester United,Liverpool,2,1
Southampton,Manchester United,0,1
Brentford,Everton,1,1
Brighton & Hove Albion,Leeds United,1,0
Chelsea,Leicester City,2,1
Liverpool,Bournemouth,9,0
Manchester City,Crystal Palace,4,2
Arsenal,Fulham,2,1
Aston Villa,West Ham United,0,1
Wolverhampton Wanderers,Newcastle United,1,1
Nottingham Forest,Tottenham Hotspur,0,2
Fulham,Brighton & Hove Albion,2,1
Crystal Palace,Brentford,1,1
Southampton,Chelsea,2,1
Leeds United,Everton,1,1
Bournemouth,Wolverhampton Wanderers,0,0
Arsenal,Aston Villa,2,1
Manchester City,Nottingham Forest,6,0
West Ham United,Tottenham Hotspur,1,1
Liverpool,Newcastle United,2,1
Leicester City,Manchester United,0,1
Everton,Liverpool,0,0
Brentford,Leeds United,5,2
Chelsea,West Ham United,2,1
Newcastle United,Crystal Palace,0,0
Nottingham Forest,Bournemouth,2,3
Tottenham Hotspur,Fulham,2,1
